Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  28 de febrero de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,072,114.37 "," 4,091,869.38 "," 3,209,056.73 "," 2,240,201.26 "," 194,973.40 "," 472,509.38 "," 1,370,987.08 "," 3,711,176.05 "," 178,870.21 "," 821,420.36 "," 879,498.58 "," 262,232.14 "," 1,288,941.16 "," 24,793,850.10 ",
1110 Disponibilidades," 887,913.71 "," 611,458.59 "," 450,164.88 "," 353,751.04 "," 54,859.57 "," 118,991.26 "," 216,243.07 "," 543,396.24 "," 29,780.66 "," 114,045.98 "," 111,553.68 "," 50,503.90 "," 147,199.91 "," 3,689,862.49 ",
112 Operaciones con pacto de retroventa," 5,231.22 ", 37.45 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,635.73 ", -   ," 9,904.40 ",
1121 Operaciones con pacto de retroventa," 5,231.22 ", 37.45 , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,635.73 ", -   ," 9,904.40 ",
1130 A valor razonable con cambios en resultados (vrcr)," 962,126.43 "," 10,464.79 ", -   , -   , -   , -   , -   , -   , -   ," 2,034.05 ", -   , -   ," 73,351.30 "," 1,047,976.57 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 75,016.97 "," 851,669.76 ", -   , -   , -   ," 449,627.36 ", -   , -   , -   , -   , -   ," 1,376,314.09 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 39,845.49 "," 463,068.75 "," 283,318.52 "," 8,886.34 "," 103,898.88 "," 10,406.18 "," 163,517.51 ", -   ," 28,897.25 "," 65,122.16 "," 136,476.62 ", -   ," 195,011.79 "," 1,498,449.50 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,936.54 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,936.54 ",
114 Préstamos," 4,176,997.52 "," 3,006,839.79 "," 2,391,619.82 "," 1,025,894.12 "," 36,214.94 "," 343,111.94 "," 991,226.51 "," 2,718,152.45 "," 120,192.29 "," 640,218.16 "," 631,468.28 "," 207,092.51 "," 873,378.17 "," 17,162,406.50 ",
1141 Préstamos pactados hasta un año plazo," 863,030.50 "," 397,275.18 "," 355,556.51 "," 88,322.16 "," 36,214.94 "," 50,307.61 "," 313,735.90 "," 627,183.99 "," 5,914.16 "," 81,497.08 "," 115,242.68 "," 3,395.45 "," 163,355.88 "," 3,101,032.04 ",
1142 Préstamos pactados a más de un año plazo," 3,369,112.96 "," 2,665,015.62 "," 2,056,484.64 "," 944,951.05 ", -   ," 293,205.16 "," 681,586.72 "," 2,111,387.14 "," 117,198.81 "," 560,888.24 "," 521,802.99 "," 203,789.64 "," 712,226.14 "," 14,237,649.11 ",
1148 Préstamos vencidos," 41,635.67 "," 78,239.31 "," 50,854.37 "," 37,536.38 ", -   ," 8,965.63 "," 19,264.89 "," 34,045.89 "," 5,147.71 "," 1,175.33 "," 19,071.22 "," 3,988.59 "," 3,696.42 "," 303,621.40 ",
1149 Provisión para incobrabilidad de préstamos,"-96,781.60 ","-133,690.31 ","-71,275.71 ","-44,915.47 ", -   ,"-9,366.45 ","-23,361.01 ","-54,464.57 ","-8,068.39 ","-3,342.49 ","-24,648.61 ","-4,081.16 ","-5,900.27 ","-479,896.04 ",
12 Otros activos," 103,083.72 "," 86,563.54 "," 32,179.33 "," 30,444.10 "," 3,154.00 "," 11,388.92 "," 31,717.92 "," 30,035.03 "," 11,804.51 "," 5,382.69 "," 12,799.77 "," 6,379.39 "," 34,026.15 "," 398,959.07 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 17,765.71 "," 1,494.24 "," 4,256.25 "," 13,592.52 ", -   ," 3,429.25 "," 1,543.05 "," 1,534.43 ", -   , -   ," 3,042.01 ", 602.89 ," 2,173.99 "," 49,434.34 ",
1230 Existencias," 1,097.57 ", 325.81 , 377.10 , 172.42 , -   , 262.20 , 39.07 , 452.80 , 11.43 , 47.71 , 97.85 , 22.79 , 20.04 ," 2,926.80 ",
1240 Gastos pagados por anticipado," 9,106.38 "," 8,263.28 "," 3,800.80 ", 875.66 , 19.93 , 164.96 ," 9,230.55 "," 3,266.77 "," 7,259.05 ", 608.61 ," 2,925.18 "," 2,171.48 "," 2,724.70 "," 50,417.35 ",
1250 Cuentas por cobrar," 45,103.75 "," 20,235.25 "," 11,392.69 "," 10,360.26 "," 2,539.06 "," 7,385.63 "," 17,224.36 "," 15,614.56 "," 3,141.42 "," 3,468.91 "," 3,944.28 ", 779.37 ," 19,766.90 "," 160,956.43 ",
1251 Impuestos," 23,347.74 "," 27,567.92 "," 8,557.57 "," 5,511.24 ", 595.02 , 915.30 ," 5,799.77 "," 2,594.25 "," 1,392.60 "," 1,257.46 "," 3,119.21 "," 1,795.77 "," 3,851.36 "," 86,305.22 ",
1259 Estimación de pérdida por deterioro de valor,"-3,304.49 ","-2,945.67 ","-2,629.18 ",-182.28 , -   ,-768.42 ,"-2,118.89 ",-362.90 , -   , -   ,-328.76 ,-171.10 ,-106.78 ,"-12,918.48 ",
"1260 Inversiones en acciones, derechos y participaciones"," 9,967.08 "," 31,622.70 "," 6,424.10 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,595.94 "," 53,724.10 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 126,175.46 "," 114,490.47 "," 62,520.36 "," 22,979.92 "," 2,507.10 "," 20,524.35 "," 29,401.16 "," 53,618.90 "," 8,274.95 "," 5,313.12 "," 24,014.73 "," 9,138.48 "," 27,611.76 "," 506,570.77 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,385.50 "," 7,957.74 ", 247.69 ," 9,137.29 "," 4,382.33 "," 12,880.28 ", -   , 730.09 , 746.37 ," 2,029.83 "," 4,174.59 "," 130,780.89 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,385.50 "," 7,957.74 ", 247.69 ," 9,137.29 "," 4,382.33 "," 12,880.28 ", -   , 730.09 , 746.37 ," 2,029.83 "," 4,174.59 "," 130,780.89 ",
132 Propiedades y equipo depreciables," 71,790.52 "," 37,873.45 "," 29,935.19 "," 13,754.13 "," 2,259.41 "," 9,952.25 "," 16,946.71 "," 39,238.90 "," 3,604.43 "," 4,133.09 "," 7,539.09 "," 6,309.13 "," 14,891.19 "," 258,227.49 ",
1320 Depreciables," 174,499.38 "," 137,591.95 "," 86,965.73 "," 34,704.32 "," 4,630.03 "," 36,899.32 "," 44,389.36 "," 99,273.46 "," 4,175.96 "," 10,743.18 "," 18,582.20 "," 12,570.36 "," 30,713.31 "," 695,738.55 ",
1329 Depreciación y deterioro acumulada(o) (-),"-102,708.86 ","-99,718.50 ","-57,030.54 ","-20,950.19 ","-2,370.62 ","-26,947.07 ","-27,442.65 ","-60,034.56 ",-571.53 ,"-6,610.09 ","-11,043.11 ","-6,261.23 ","-15,822.12 ","-437,511.06 ",
133 Intangibles," 25,163.07 "," 35,729.69 "," 14,199.67 "," 1,268.05 ", -   ," 1,434.81 "," 8,072.12 "," 1,499.73 "," 4,670.52 ", 449.95 ," 15,729.28 ", 799.52 ," 8,545.98 "," 117,562.38 ",
1330 Intangibles," 44,277.31 "," 74,599.69 "," 37,222.61 "," 1,822.92 ", -   ," 3,419.70 "," 8,072.12 "," 2,736.10 "," 7,136.15 "," 3,444.43 "," 32,672.17 "," 8,808.11 "," 14,244.24 "," 238,455.54 ",
1339 Amortización y deterioro acumulada(o) (-),"-19,114.24 ","-38,870.00 ","-23,022.94 ",-554.87 , -   ,"-1,984.89 ", -   ,"-1,236.37 ","-2,465.64 ","-2,994.48 ","-16,942.89 ","-8,008.59 ","-5,698.26 ","-120,893.16 ",
Total Activos," 6,301,373.56 "," 4,292,923.38 "," 3,303,756.41 "," 2,293,625.28 "," 200,634.50 "," 504,422.65 "," 1,432,106.16 "," 3,794,829.99 "," 198,949.67 "," 832,116.17 "," 916,313.08 "," 277,750.01 "," 1,350,579.07 "," 25,699,379.94 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 22,500.54 "," 9,909.50 "," 10,795.81 ", 182.06 , -   , -   , -   ," 92,614.32 ", -   ," 1,080.45 "," 4,320.39 ", -   , -   ," 141,403.06 ",
4120 Avales y fianzas," 80,667.66 "," 62,566.33 "," 118,931.26 "," 16,282.48 "," 2,898.99 "," 5,732.38 "," 6,722.71 "," 56,753.03 ", -   ," 13,814.85 "," 2,173.83 ", -   ," 8,757.37 "," 375,300.89 ",
4129 Provisión por pérdidas,"-15,772.79 ","-14,578.84 ","-5,054.51 ","-11,662.40 ", -   ,"-5,732.38 ", -   ,-31.43 , -   , -   , -   , -   , -   ,"-52,832.34 ",
4130 Operaciones con instrumentos financieros derivados," 8,952.24 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,952.24 ",
4180 Otras, -   , -   , -   , -   , 19.01 , -   , -   , -   , -   , -   , -   , -   , -   , 19.01 ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 96,347.65 "," 57,896.99 "," 124,672.56 "," 4,802.14 "," 2,918.00 ", -   ," 6,722.71 "," 149,335.92 ", -   ," 14,895.30 "," 6,494.22 ", -   ," 8,757.37 "," 472,842.86 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,397,721.21 "," 4,350,820.37 "," 3,428,428.97 "," 2,298,427.42 "," 203,552.50 "," 504,422.65 "," 1,438,828.87 "," 3,944,165.90 "," 198,949.67 "," 847,011.47 "," 922,807.30 "," 277,750.01 "," 1,359,336.44 "," 26,172,222.80 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 5,482,060.01 "," 3,746,118.36 "," 2,886,547.58 "," 2,054,295.70 "," 149,323.84 "," 395,702.22 "," 1,297,996.36 "," 3,386,599.35 "," 160,650.78 "," 712,797.10 "," 810,724.93 "," 232,585.13 "," 1,209,244.84 "," 22,524,646.21 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,342,763.89 "," 3,586,520.08 "," 2,733,073.70 "," 1,627,110.98 "," 148,478.95 "," 395,638.36 "," 1,250,421.85 "," 3,214,353.89 "," 152,369.44 "," 648,874.30 "," 792,573.56 "," 219,479.55 "," 1,043,938.21 "," 21,155,596.76 ",
2110 Depósitos a la vista," 3,773,529.56 "," 2,233,357.40 "," 1,457,814.31 "," 666,433.14 "," 131,734.56 "," 252,282.36 "," 561,189.35 "," 1,893,600.28 "," 21,341.60 "," 232,540.01 "," 263,577.06 "," 46,658.48 "," 332,766.37 "," 11,866,824.46 ",
2111 Depósitos pactados hasta un año plazo," 1,000,104.83 "," 1,035,629.40 "," 1,011,568.03 "," 649,609.81 ", -   ," 110,561.07 "," 440,810.87 "," 884,393.25 "," 97,821.35 "," 314,990.59 "," 355,879.95 "," 103,426.55 "," 354,404.85 "," 6,359,200.55 ",
2112 Depósitos pactados a más de un año plazo," 106,365.40 "," 35,191.43 "," 66,472.52 "," 199,658.40 ", -   , 33.10 ," 45,760.69 "," 102,789.82 "," 23,031.30 "," 7,663.45 "," 16,007.63 "," 3,575.57 "," 170,234.41 "," 776,783.72 ",
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 23,266.81 "," 23,266.81 ",
2114 Depósitos restringidos e inactivos," 80,897.93 "," 63,486.94 "," 55,814.05 "," 36,883.76 ", 478.00 ," 9,851.36 "," 28,631.33 "," 18,796.86 "," 2,724.06 "," 4,464.30 "," 8,792.48 "," 3,672.01 "," 19,743.46 "," 334,236.55 ",
2115 Operaciones con pacto de retrocompra, -   , -   ," 2,750.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,750.00 ",
2116 Préstamos pactados hasta un año plazo, -   ," 1,230.51 "," 24,134.82 "," 15,054.50 "," 15,001.82 ", 16.16 ," 21,456.85 "," 92,021.50 "," 3,926.24 "," 39,376.65 "," 11,192.43 "," 19,131.85 "," 21,363.90 "," 263,907.24 ",
2117 Préstamos pactados a más de un año plazo," 71,809.51 "," 68,052.59 "," 57,223.91 "," 56,661.73 ", -   ," 2,760.47 "," 53,679.98 "," 222,752.18 ", -   ," 49,839.30 "," 35,173.32 "," 30,880.31 "," 75,314.73 "," 724,148.01 ",
2118 Préstamos pactados a cinco o mas años plazo," 239,242.40 "," 149,571.81 "," 57,296.07 "," 2,809.64 "," 1,264.57 "," 20,133.83 "," 53,093.60 ", -   ," 3,524.90 ", -   ," 101,950.69 "," 12,134.79 "," 46,843.69 "," 687,865.99 ",
2119 Préstamos subordinados," 70,814.27 ", -   , -   , -   , -   , -   ," 45,799.17 ", -   , -   , -   , -   , -   , -   ," 116,613.44 ",
212 Títulos de emisión propia," 118,240.86 "," 143,387.91 "," 143,150.19 "," 397,650.66 ", -   , -   ," 42,220.40 "," 150,058.59 "," 7,604.92 "," 58,761.38 "," 16,032.14 "," 11,045.43 "," 164,512.39 "," 1,252,664.89 ",
2120 Títulos de emisión propia," 118,240.86 "," 143,387.91 "," 143,150.19 "," 397,650.66 ", -   , -   ," 42,220.40 "," 150,058.59 "," 7,604.92 "," 58,761.38 "," 16,032.14 "," 11,045.43 "," 164,512.39 "," 1,252,664.89 ",
213 Obligaciones a la vista," 21,055.26 "," 16,210.37 "," 10,323.70 "," 29,534.05 ", 844.89 , 63.86 ," 5,354.11 "," 22,186.87 ", 676.41 ," 5,161.42 "," 2,119.23 "," 2,060.16 ", 794.23 ," 116,384.56 ",
2130 Obligaciones a la vista," 21,055.26 "," 16,210.37 "," 10,323.70 "," 29,534.05 ", 844.89 , 63.86 ," 5,354.11 "," 22,186.87 ", 676.41 ," 5,161.42 "," 2,119.23 "," 2,060.16 ", 794.23 ," 116,384.56 ",
22 Otros pasivos," 247,276.86 "," 84,084.02 "," 50,359.79 "," 13,134.45 "," 6,217.08 "," 30,842.56 "," 21,471.80 "," 42,804.41 "," 2,570.17 "," 15,100.67 "," 5,603.97 "," 5,336.57 "," 11,116.24 "," 535,918.61 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 191,862.19 "," 42,154.63 "," 20,327.98 "," 8,344.82 "," 3,858.01 "," 22,784.77 "," 12,399.45 "," 11,298.74 ", 927.97 ," 12,865.47 "," 3,241.19 "," 3,954.62 "," 7,280.03 "," 341,299.87 ",
2220 Cuentas por pagar," 161,842.28 "," 27,806.51 "," 18,160.10 "," 7,540.66 "," 1,377.26 "," 19,340.80 "," 8,600.01 "," 10,672.11 ", 854.68 ," 10,804.92 "," 2,434.26 "," 1,928.46 "," 6,888.88 "," 278,250.95 ",
2221 Impuestos," 30,019.90 "," 14,348.12 "," 2,167.88 ", 804.16 ," 2,480.75 "," 3,443.98 "," 3,799.45 ", 626.63 , 73.29 ," 2,060.54 ", 806.93 ," 2,026.16 ", 391.14 ," 63,048.92 ",
223 Retenciones y aportaciones patronales," 2,608.84 "," 5,969.68 "," 2,553.38 ", 517.93 , 194.37 , 199.45 ," 1,593.91 "," 1,920.21 ", 357.45 , 326.87 , 857.35 , 132.45 , 733.10 ," 17,965.00 ",
2230 Retenciones y aportaciones patronales," 2,608.84 "," 5,969.68 "," 2,553.38 ", 517.93 , 194.37 , 199.45 ," 1,593.91 "," 1,920.21 ", 357.45 , 326.87 , 857.35 , 132.45 , 733.10 ," 17,965.00 ",
224 Otros pasivos," 42,010.27 "," 11,212.85 "," 12,901.61 "," 3,102.01 "," 2,130.89 "," 2,927.47 "," 5,282.15 "," 16,332.31 ", 693.18 , 738.32 , 341.33 ," 1,037.68 "," 3,103.11 "," 101,813.18 ",
2240 Provisiones," 42,010.27 "," 11,212.85 "," 12,901.61 "," 3,102.01 "," 2,130.89 "," 2,927.47 "," 5,282.15 "," 16,332.31 ", 693.18 , 738.32 , 341.33 ," 1,037.68 "," 3,103.11 "," 101,813.18 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 10,795.57 "," 24,746.85 "," 14,576.82 "," 1,169.68 ", 33.82 ," 4,930.86 "," 2,196.28 "," 13,253.16 ", 591.57 ," 1,170.02 "," 1,164.09 ", 211.82 , -   ," 74,840.55 ",
2250 Pasivos diferidos," 10,795.57 "," 24,746.85 "," 14,576.82 "," 1,169.68 ", 33.82 ," 4,930.86 "," 2,196.28 "," 13,253.16 ", 591.57 ," 1,170.02 "," 1,164.09 ", 211.82 , -   ," 74,840.55 ",
Total Pasivos," 5,729,336.87 "," 3,830,202.38 "," 2,936,907.37 "," 2,067,430.14 "," 155,540.92 "," 426,544.78 "," 1,319,468.16 "," 3,429,403.77 "," 163,220.95 "," 727,897.78 "," 816,328.90 "," 237,921.71 "," 1,220,361.08 "," 23,060,564.81 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 489,400.61 "," 387,540.90 "," 330,868.25 "," 172,391.93 "," 40,739.93 "," 58,372.42 "," 98,147.87 "," 334,525.75 "," 32,914.96 "," 99,684.75 "," 88,442.02 "," 35,992.66 "," 117,676.06 "," 2,286,698.12 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 30,351.51 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 544,918.62 ",
3140 Resultados por aplicar," 32,439.11 "," 92,651.25 "," 8,718.95 "," 20,637.20 "," 13,239.93 "," 23,914.97 "," 3,747.36 "," 133,275.20 "," 5,024.35 "," 25,357.92 "," 2,389.67 "," 9,692.54 ", 637.80 ," 371,726.25 ",
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 66,863.28 "," 60,601.27 "," 30,926.28 "," 42,140.81 "," 4,353.64 "," 13,773.07 "," 14,490.13 "," 30,869.04 "," 2,813.76 "," 4,533.64 "," 11,542.16 "," 3,835.65 "," 12,541.93 "," 299,284.66 ",
3210 Utilidades no distribuibles," 65,767.60 "," 47,014.03 "," 26,906.39 "," 37,585.53 "," 4,306.75 "," 2,941.81 "," 15,565.36 "," 32,602.31 "," 2,775.49 "," 4,653.09 "," 11,542.16 "," 3,985.78 "," 12,509.23 "," 268,155.55 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 4,019.89 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,733.27 ", 38.27 ,-119.45 , -   ,-150.14 , -   ," 31,096.41 ",
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 4,019.89 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,764.17 ", 38.27 , -   , -   ,-150.14 , -   ," 31,184.96 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 30.91 , -   ,-119.45 , -   , -   , -   ,-88.55 ,
,,,,,,,,,,,,,,,
Total Patrimonio," 556,263.89 "," 448,142.17 "," 361,794.53 "," 214,532.74 "," 45,093.58 "," 72,145.49 "," 112,638.00 "," 365,394.79 "," 35,728.72 "," 104,218.39 "," 99,984.18 "," 39,828.30 "," 130,217.99 "," 2,585,982.78 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,285,600.77 "," 4,278,344.55 "," 3,298,701.90 "," 2,281,962.88 "," 200,634.50 "," 498,690.28 "," 1,432,106.16 "," 3,794,798.56 "," 198,949.67 "," 832,116.17 "," 916,313.08 "," 277,750.01 "," 1,350,579.07 "," 25,646,547.59 ",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 22,500.54 "," 9,909.50 "," 10,795.81 ", 182.06 , -   , -   , -   ," 90,465.01 ", -   ," 1,080.45 "," 4,320.39 ", -   , -   ," 139,253.75 ",
5120 Contingencias por avales y fianzas," 80,667.66 "," 62,566.33 "," 118,931.26 "," 16,282.48 "," 2,898.99 "," 5,732.38 "," 6,722.71 "," 58,902.34 ", -   ," 13,814.85 "," 2,173.83 ", -   ," 8,757.37 "," 377,450.20 ",
5130 Operaciones con instrumentos financieros derivados," 8,952.24 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,952.24 ",
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
5180 Otras, -   , -   , -   , -   , 19.01 , -   , -   , -   , -   , -   , -   , -   , -   , 19.01 ,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 112,120.44 "," 72,475.83 "," 129,727.07 "," 16,464.54 "," 2,918.00 "," 5,732.38 "," 6,722.71 "," 149,367.35 ", -   ," 14,895.30 "," 6,494.22 ", -   ," 8,757.37 "," 525,675.20 ",
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,397,721.21 "," 4,350,820.37 "," 3,428,428.97 "," 2,298,427.42 "," 203,552.50 "," 504,422.65 "," 1,438,828.87 "," 3,944,165.90 "," 198,949.67 "," 847,011.47 "," 922,807.30 "," 277,750.01 "," 1,359,336.44 "," 26,172,222.80 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,